be paid,"[""What is growing fastest is to J Street's left, and that is very liberating for J Street, because it means there is going to be a price to be paid no matter what, there is going to be no safe political space, and it is going to liberate people in J Street to do what they really believe.\""""]"
"street, which","[""About 3,000 delegates assembled from Saturday to Tuesday for the conference hosted by J Street, which supports a two-state solution and has frequently criticized Netanyahu.""]"
street president,"[""We are very glad to hear the Obama administration is reconsidering its approach to the Israeli-Palestinian conflict, J Street President Jeremy Ben-Ami said at the conference.""]"
have people,"[""\""He is more willing to take that on if he knows that he will have people in the Jewish community behind him.\""""]"
included white,"[""Notable speakers included White House Chief of Staff Denis McDonough and chief Palestinian negotiator Saeb Erekat.""]"
people in,"[""\""He is more willing to take that on if he knows that he will have people in the Jewish community behind him.\"""", ""What is growing fastest is to J Street's left, and that is very liberating for J Street, because it means there is going to be a price to be paid no matter what, there is going to be no safe political space, and it is going to liberate people in J Street to do what they really believe.\""""]"
because j,"[""\""This is a great moment for J Street, because J Street has always had to look over its right shoulder, worrying about what others are saying about it,\"" Beinart said.""]"
keep one,"[""Since its founding in 2008, the group has attempted to keep one foot in the Jewish establishment and one foot in a more left-leaning camp, but has nonetheless struggled to gain acceptance from more mainstream Jewish groups.""]"
"in fact,","[""In fact, attendees of the annual J Street conference, held in Washington over the last four days, seemed energized by Netanyahu's remark -- as well as by the possibility that President Barack Obama's administration would start taking a harder line against Netanyahu.""]"
the opportunity,"[""Journalist Peter Beinart said that Netanyahu's comments had \""forced the Obama administration off the sidelines\"" and that J Street should capitalize on the opportunity to support any action Obama may take at the U.N.\r\n\r\n\""[Obama] needs support from you, because this effort is the most important move that he can realistically make in the rest of his presidency,\"" Beinart said on a panel discussing the future of liberal Zionism.""]"
realistically make,"[""Journalist Peter Beinart said that Netanyahu's comments had \""forced the Obama administration off the sidelines\"" and that J Street should capitalize on the opportunity to support any action Obama may take at the U.N.\r\n\r\n\""[Obama] needs support from you, because this effort is the most important move that he can realistically make in the rest of his presidency,\"" Beinart said on a panel discussing the future of liberal Zionism.""]"
new right-wing,"[""Beinart also said that Netanyahu's new right-wing government should serve as a justification for J Street to shift to the left.""]"
most important,"[""Journalist Peter Beinart said that Netanyahu's comments had \""forced the Obama administration off the sidelines\"" and that J Street should capitalize on the opportunity to support any action Obama may take at the U.N.\r\n\r\n\""[Obama] needs support from you, because this effort is the most important move that he can realistically make in the rest of his presidency,\"" Beinart said on a panel discussing the future of liberal Zionism.""]"
street should,"[""Journalist Peter Beinart said that Netanyahu's comments had \""forced the Obama administration off the sidelines\"" and that J Street should capitalize on the opportunity to support any action Obama may take at the U.N.\r\n\r\n\""[Obama] needs support from you, because this effort is the most important move that he can realistically make in the rest of his presidency,\"" Beinart said on a panel discussing the future of liberal Zionism.""]"
"j street,","[""About 3,000 delegates assembled from Saturday to Tuesday for the conference hosted by J Street, which supports a two-state solution and has frequently criticized Netanyahu."", ""\""This is a great moment for J Street, because J Street has always had to look over its right shoulder, worrying about what others are saying about it,\"" Beinart said."", ""What is growing fastest is to J Street's left, and that is very liberating for J Street, because it means there is going to be a price to be paid no matter what, there is going to be no safe political space, and it is going to liberate people in J Street to do what they really believe.\""""]"
his watch.,"[""WASHINGTON -- Advocates of a two-state solution to the Israeli-Palestinian conflict weren't too discouraged by Israeli Prime Minister Benjamin Netanyahu's much-criticized promise ahead of his election victory last week that a Palestinian state would never be created on his watch.""]"
"days, seemed","[""In fact, attendees of the annual J Street conference, held in Washington over the last four days, seemed energized by Netanyahu's remark -- as well as by the possibility that President Barack Obama's administration would start taking a harder line against Netanyahu.""]"
capitalize on,"[""Journalist Peter Beinart said that Netanyahu's comments had \""forced the Obama administration off the sidelines\"" and that J Street should capitalize on the opportunity to support any action Obama may take at the U.N.\r\n\r\n\""[Obama] needs support from you, because this effort is the most important move that he can realistically make in the rest of his presidency,\"" Beinart said on a panel discussing the future of liberal Zionism.""]"
has always,"[""\""This is a great moment for J Street, because J Street has always had to look over its right shoulder, worrying about what others are saying about it,\"" Beinart said.""]"
netanyahu's much-criticized,"[""WASHINGTON -- Advocates of a two-state solution to the Israeli-Palestinian conflict weren't too discouraged by Israeli Prime Minister Benjamin Netanyahu's much-criticized promise ahead of his election victory last week that a Palestinian state would never be created on his watch.""]"
by israeli,"[""WASHINGTON -- Advocates of a two-state solution to the Israeli-Palestinian conflict weren't too discouraged by Israeli Prime Minister Benjamin Netanyahu's much-criticized promise ahead of his election victory last week that a Palestinian state would never be created on his watch.""]"
focused on,"[""Much of the discussion focused on potential moves the U.S. could make at the U.N., such as shifting to support a Security Council resolution laying out the parameters of a desired peace deal or no longer vetoing resolutions calling on Israel to halt settlement expansion.""]"
college students,"[""Of these, about 1,100 were college students from the organization's J Street U wing.""]"
"""forced the","[""Journalist Peter Beinart said that Netanyahu's comments had \""forced the Obama administration off the sidelines\"" and that J Street should capitalize on the opportunity to support any action Obama may take at the U.N.\r\n\r\n\""[Obama] needs support from you, because this effort is the most important move that he can realistically make in the rest of his presidency,\"" Beinart said on a panel discussing the future of liberal Zionism.""]"
taking more,"[""Conference speakers said they would support the U.S. taking more aggressive steps in the wake of the election to promote peace between the Israelis and the Palestinians.""]"
last week,"[""WASHINGTON -- Advocates of a two-state solution to the Israeli-Palestinian conflict weren't too discouraged by Israeli Prime Minister Benjamin Netanyahu's much-criticized promise ahead of his election victory last week that a Palestinian state would never be created on his watch.""]"
conference speakers,"[""Conference speakers said they would support the U.S. taking more aggressive steps in the wake of the election to promote peace between the Israelis and the Palestinians.""]"
israeli prime,"[""WASHINGTON -- Advocates of a two-state solution to the Israeli-Palestinian conflict weren't too discouraged by Israeli Prime Minister Benjamin Netanyahu's much-criticized promise ahead of his election victory last week that a Palestinian state would never be created on his watch.""]"
"sidelines"" and","[""Journalist Peter Beinart said that Netanyahu's comments had \""forced the Obama administration off the sidelines\"" and that J Street should capitalize on the opportunity to support any action Obama may take at the U.N.\r\n\r\n\""[Obama] needs support from you, because this effort is the most important move that he can realistically make in the rest of his presidency,\"" Beinart said on a panel discussing the future of liberal Zionism.""]"
rest of,"[""Journalist Peter Beinart said that Netanyahu's comments had \""forced the Obama administration off the sidelines\"" and that J Street should capitalize on the opportunity to support any action Obama may take at the U.N.\r\n\r\n\""[Obama] needs support from you, because this effort is the most important move that he can realistically make in the rest of his presidency,\"" Beinart said on a panel discussing the future of liberal Zionism.""]"
two-state solution,"[""About 3,000 delegates assembled from Saturday to Tuesday for the conference hosted by J Street, which supports a two-state solution and has frequently criticized Netanyahu."", ""WASHINGTON -- Advocates of a two-state solution to the Israeli-Palestinian conflict weren't too discouraged by Israeli Prime Minister Benjamin Netanyahu's much-criticized promise ahead of his election victory last week that a Palestinian state would never be created on his watch.""]"
since its,"[""Since its founding in 2008, the group has attempted to keep one foot in the Jewish establishment and one foot in a more left-leaning camp, but has nonetheless struggled to gain acceptance from more mainstream Jewish groups.""]"
assembled from,"[""About 3,000 delegates assembled from Saturday to Tuesday for the conference hosted by J Street, which supports a two-state solution and has frequently criticized Netanyahu.""]"
his election,"[""WASHINGTON -- Advocates of a two-state solution to the Israeli-Palestinian conflict weren't too discouraged by Israeli Prime Minister Benjamin Netanyahu's much-criticized promise ahead of his election victory last week that a Palestinian state would never be created on his watch.""]"
"would ""evaluate","[""In a Friday interview with The Huffington Post, Obama said his administration would \""evaluate what other options are available.\""""]"
perspectives about,"[""The event featured a diverse and, at times, conflicting set of perspectives about how to facilitate peace at a time when Netanyahu and Obama are experiencing one of the lowest ebbs their relationship has ever seen.""]"
liberating for,"[""What is growing fastest is to J Street's left, and that is very liberating for J Street, because it means there is going to be a price to be paid no matter what, there is going to be no safe political space, and it is going to liberate people in J Street to do what they really believe.\""""]"
a price,"[""What is growing fastest is to J Street's left, and that is very liberating for J Street, because it means there is going to be a price to be paid no matter what, there is going to be no safe political space, and it is going to liberate people in J Street to do what they really believe.\""""]"
election victory,"[""WASHINGTON -- Advocates of a two-state solution to the Israeli-Palestinian conflict weren't too discouraged by Israeli Prime Minister Benjamin Netanyahu's much-criticized promise ahead of his election victory last week that a Palestinian state would never be created on his watch.""]"
a two-state,"[""About 3,000 delegates assembled from Saturday to Tuesday for the conference hosted by J Street, which supports a two-state solution and has frequently criticized Netanyahu."", ""WASHINGTON -- Advocates of a two-state solution to the Israeli-Palestinian conflict weren't too discouraged by Israeli Prime Minister Benjamin Netanyahu's much-criticized promise ahead of his election victory last week that a Palestinian state would never be created on his watch.""]"
would support,"[""Conference speakers said they would support the U.S. taking more aggressive steps in the wake of the election to promote peace between the Israelis and the Palestinians.""]"
bid to,"[""(When the Palestinians first took their statehood bid to the United Nations, J Street opposed the effort.)""]"
to support,"[""Much of the discussion focused on potential moves the U.S. could make at the U.N., such as shifting to support a Security Council resolution laying out the parameters of a desired peace deal or no longer vetoing resolutions calling on Israel to halt settlement expansion."", ""Journalist Peter Beinart said that Netanyahu's comments had \""forced the Obama administration off the sidelines\"" and that J Street should capitalize on the opportunity to support any action Obama may take at the U.N.\r\n\r\n\""[Obama] needs support from you, because this effort is the most important move that he can realistically make in the rest of his presidency,\"" Beinart said on a panel discussing the future of liberal Zionism.""]"
knows that,"[""\""He is more willing to take that on if he knows that he will have people in the Jewish community behind him.\""""]"
frequently criticized,"[""About 3,000 delegates assembled from Saturday to Tuesday for the conference hosted by J Street, which supports a two-state solution and has frequently criticized Netanyahu.""]"
more left-leaning,"[""Since its founding in 2008, the group has attempted to keep one foot in the Jewish establishment and one foot in a more left-leaning camp, but has nonetheless struggled to gain acceptance from more mainstream Jewish groups.""]"
others are,"[""\""This is a great moment for J Street, because J Street has always had to look over its right shoulder, worrying about what others are saying about it,\"" Beinart said.""]"
needs support,"[""Journalist Peter Beinart said that Netanyahu's comments had \""forced the Obama administration off the sidelines\"" and that J Street should capitalize on the opportunity to support any action Obama may take at the U.N.\r\n\r\n\""[Obama] needs support from you, because this effort is the most important move that he can realistically make in the rest of his presidency,\"" Beinart said on a panel discussing the future of liberal Zionism.""]"
serve as,"[""Beinart also said that Netanyahu's new right-wing government should serve as a justification for J Street to shift to the left.""]"
chief palestinian,"[""Notable speakers included White House Chief of Staff Denis McDonough and chief Palestinian negotiator Saeb Erekat.""]"
discouraged by,"[""WASHINGTON -- Advocates of a two-state solution to the Israeli-Palestinian conflict weren't too discouraged by Israeli Prime Minister Benjamin Netanyahu's much-criticized promise ahead of his election victory last week that a Palestinian state would never be created on his watch.""]"
calling on,"[""Much of the discussion focused on potential moves the U.S. could make at the U.N., such as shifting to support a Security Council resolution laying out the parameters of a desired peace deal or no longer vetoing resolutions calling on Israel to halt settlement expansion.""]"
palestinians first,"[""(When the Palestinians first took their statehood bid to the United Nations, J Street opposed the effort.)""]"
the israelis,"[""Conference speakers said they would support the U.S. taking more aggressive steps in the wake of the election to promote peace between the Israelis and the Palestinians.""]"
"his presidency,""","[""Journalist Peter Beinart said that Netanyahu's comments had \""forced the Obama administration off the sidelines\"" and that J Street should capitalize on the opportunity to support any action Obama may take at the U.N.\r\n\r\n\""[Obama] needs support from you, because this effort is the most important move that he can realistically make in the rest of his presidency,\"" Beinart said on a panel discussing the future of liberal Zionism.""]"
israel to,"[""Much of the discussion focused on potential moves the U.S. could make at the U.N., such as shifting to support a Security Council resolution laying out the parameters of a desired peace deal or no longer vetoing resolutions calling on Israel to halt settlement expansion.""]"
should serve,"[""Beinart also said that Netanyahu's new right-wing government should serve as a justification for J Street to shift to the left.""]"
"these, about","[""Of these, about 1,100 were college students from the organization's J Street U wing.""]"
students from,"[""Of these, about 1,100 were college students from the organization's J Street U wing.""]"
"from you,","[""Journalist Peter Beinart said that Netanyahu's comments had \""forced the Obama administration off the sidelines\"" and that J Street should capitalize on the opportunity to support any action Obama may take at the U.N.\r\n\r\n\""[Obama] needs support from you, because this effort is the most important move that he can realistically make in the rest of his presidency,\"" Beinart said on a panel discussing the future of liberal Zionism.""]"
speakers included,"[""Notable speakers included White House Chief of Staff Denis McDonough and chief Palestinian negotiator Saeb Erekat.""]"
"united nations,","[""(When the Palestinians first took their statehood bid to the United Nations, J Street opposed the effort.)""]"
resolution laying,"[""Much of the discussion focused on potential moves the U.S. could make at the U.N., such as shifting to support a Security Council resolution laying out the parameters of a desired peace deal or no longer vetoing resolutions calling on Israel to halt settlement expansion.""]"
"times, conflicting","[""The event featured a diverse and, at times, conflicting set of perspectives about how to facilitate peace at a time when Netanyahu and Obama are experiencing one of the lowest ebbs their relationship has ever seen.""]"
to gain,"[""Since its founding in 2008, the group has attempted to keep one foot in the Jewish establishment and one foot in a more left-leaning camp, but has nonetheless struggled to gain acceptance from more mainstream Jewish groups.""]"
hosted by,"[""About 3,000 delegates assembled from Saturday to Tuesday for the conference hosted by J Street, which supports a two-state solution and has frequently criticized Netanyahu.""]"
weren't too,"[""WASHINGTON -- Advocates of a two-state solution to the Israeli-Palestinian conflict weren't too discouraged by Israeli Prime Minister Benjamin Netanyahu's much-criticized promise ahead of his election victory last week that a Palestinian state would never be created on his watch.""]"
administration would,"[""In fact, attendees of the annual J Street conference, held in Washington over the last four days, seemed energized by Netanyahu's remark -- as well as by the possibility that President Barack Obama's administration would start taking a harder line against Netanyahu."", ""In a Friday interview with The Huffington Post, Obama said his administration would \""evaluate what other options are available.\""""]"
council resolution,"[""Much of the discussion focused on potential moves the U.S. could make at the U.N., such as shifting to support a Security Council resolution laying out the parameters of a desired peace deal or no longer vetoing resolutions calling on Israel to halt settlement expansion.""]"
"israeli-palestinian conflict,","[""We are very glad to hear the Obama administration is reconsidering its approach to the Israeli-Palestinian conflict, J Street President Jeremy Ben-Ami said at the conference.""]"
great moment,"[""\""This is a great moment for J Street, because J Street has always had to look over its right shoulder, worrying about what others are saying about it,\"" Beinart said.""]"
ever seen.,"[""The event featured a diverse and, at times, conflicting set of perspectives about how to facilitate peace at a time when Netanyahu and Obama are experiencing one of the lowest ebbs their relationship has ever seen.""]"
a diverse,"[""The event featured a diverse and, at times, conflicting set of perspectives about how to facilitate peace at a time when Netanyahu and Obama are experiencing one of the lowest ebbs their relationship has ever seen.""]"
no longer,"[""Much of the discussion focused on potential moves the U.S. could make at the U.N., such as shifting to support a Security Council resolution laying out the parameters of a desired peace deal or no longer vetoing resolutions calling on Israel to halt settlement expansion.""]"
vetoing resolutions,"[""Much of the discussion focused on potential moves the U.S. could make at the U.N., such as shifting to support a Security Council resolution laying out the parameters of a desired peace deal or no longer vetoing resolutions calling on Israel to halt settlement expansion.""]"
promote peace,"[""Conference speakers said they would support the U.S. taking more aggressive steps in the wake of the election to promote peace between the Israelis and the Palestinians.""]"
obama administration,"[""We are very glad to hear the Obama administration is reconsidering its approach to the Israeli-Palestinian conflict, J Street President Jeremy Ben-Ami said at the conference."", ""Journalist Peter Beinart said that Netanyahu's comments had \""forced the Obama administration off the sidelines\"" and that J Street should capitalize on the opportunity to support any action Obama may take at the U.N.\r\n\r\n\""[Obama] needs support from you, because this effort is the most important move that he can realistically make in the rest of his presidency,\"" Beinart said on a panel discussing the future of liberal Zionism.""]"
"behind him.""","[""\""He is more willing to take that on if he knows that he will have people in the Jewish community behind him.\""""]"
as well,"[""In fact, attendees of the annual J Street conference, held in Washington over the last four days, seemed energized by Netanyahu's remark -- as well as by the possibility that President Barack Obama's administration would start taking a harder line against Netanyahu.""]"
the jewish,"[""\""He is more willing to take that on if he knows that he will have people in the Jewish community behind him.\"""", ""Since its founding in 2008, the group has attempted to keep one foot in the Jewish establishment and one foot in a more left-leaning camp, but has nonetheless struggled to gain acceptance from more mainstream Jewish groups.""]"
to keep,"[""Since its founding in 2008, the group has attempted to keep one foot in the Jewish establishment and one foot in a more left-leaning camp, but has nonetheless struggled to gain acceptance from more mainstream Jewish groups.""]"
and obama,"[""The event featured a diverse and, at times, conflicting set of perspectives about how to facilitate peace at a time when Netanyahu and Obama are experiencing one of the lowest ebbs their relationship has ever seen.""]"
be created,"[""WASHINGTON -- Advocates of a two-state solution to the Israeli-Palestinian conflict weren't too discouraged by Israeli Prime Minister Benjamin Netanyahu's much-criticized promise ahead of his election victory last week that a Palestinian state would never be created on his watch.""]"
"what, there","[""What is growing fastest is to J Street's left, and that is very liberating for J Street, because it means there is going to be a price to be paid no matter what, there is going to be no safe political space, and it is going to liberate people in J Street to do what they really believe.\""""]"
what others,"[""\""This is a great moment for J Street, because J Street has always had to look over its right shoulder, worrying about what others are saying about it,\"" Beinart said.""]"
his administration,"[""In a Friday interview with The Huffington Post, Obama said his administration would \""evaluate what other options are available.\""""]"
effort is,"[""Journalist Peter Beinart said that Netanyahu's comments had \""forced the Obama administration off the sidelines\"" and that J Street should capitalize on the opportunity to support any action Obama may take at the U.N.\r\n\r\n\""[Obama] needs support from you, because this effort is the most important move that he can realistically make in the rest of his presidency,\"" Beinart said on a panel discussing the future of liberal Zionism.""]"
promise ahead,"[""WASHINGTON -- Advocates of a two-state solution to the Israeli-Palestinian conflict weren't too discouraged by Israeli Prime Minister Benjamin Netanyahu's much-criticized promise ahead of his election victory last week that a Palestinian state would never be created on his watch.""]"
to liberate,"[""What is growing fastest is to J Street's left, and that is very liberating for J Street, because it means there is going to be a price to be paid no matter what, there is going to be no safe political space, and it is going to liberate people in J Street to do what they really believe.\""""]"
"and, at","[""The event featured a diverse and, at times, conflicting set of perspectives about how to facilitate peace at a time when Netanyahu and Obama are experiencing one of the lowest ebbs their relationship has ever seen.""]"
beinart said,"[""Journalist Peter Beinart said that Netanyahu's comments had \""forced the Obama administration off the sidelines\"" and that J Street should capitalize on the opportunity to support any action Obama may take at the U.N.\r\n\r\n\""[Obama] needs support from you, because this effort is the most important move that he can realistically make in the rest of his presidency,\"" Beinart said on a panel discussing the future of liberal Zionism.""]"
which supports,"[""About 3,000 delegates assembled from Saturday to Tuesday for the conference hosted by J Street, which supports a two-state solution and has frequently criticized Netanyahu.""]"
street opposed,"[""(When the Palestinians first took their statehood bid to the United Nations, J Street opposed the effort.)""]"
attempted to,"[""Since its founding in 2008, the group has attempted to keep one foot in the Jewish establishment and one foot in a more left-leaning camp, but has nonetheless struggled to gain acceptance from more mainstream Jewish groups.""]"
approach to,"[""We are very glad to hear the Obama administration is reconsidering its approach to the Israeli-Palestinian conflict, J Street President Jeremy Ben-Ami said at the conference.""]"
the u.s.,"[""Much of the discussion focused on potential moves the U.S. could make at the U.N., such as shifting to support a Security Council resolution laying out the parameters of a desired peace deal or no longer vetoing resolutions calling on Israel to halt settlement expansion."", ""Conference speakers said they would support the U.S. taking more aggressive steps in the wake of the election to promote peace between the Israelis and the Palestinians.""]"
-- as,"[""In fact, attendees of the annual J Street conference, held in Washington over the last four days, seemed energized by Netanyahu's remark -- as well as by the possibility that President Barack Obama's administration would start taking a harder line against Netanyahu.""]"
the election,"[""Conference speakers said they would support the U.S. taking more aggressive steps in the wake of the election to promote peace between the Israelis and the Palestinians.""]"
"nations, j","[""(When the Palestinians first took their statehood bid to the United Nations, J Street opposed the effort.)""]"
they really,"[""What is growing fastest is to J Street's left, and that is very liberating for J Street, because it means there is going to be a price to be paid no matter what, there is going to be no safe political space, and it is going to liberate people in J Street to do what they really believe.\""""]"
their statehood,"[""(When the Palestinians first took their statehood bid to the United Nations, J Street opposed the effort.)""]"
-- a,"[""Now J Street is going to have to look over its left shoulder -- a lot of it is because of Benjamin Netanyahu.""]"
"about it,""","[""\""This is a great moment for J Street, because J Street has always had to look over its right shoulder, worrying about what others are saying about it,\"" Beinart said.""]"
"camp, but","[""Since its founding in 2008, the group has attempted to keep one foot in the Jewish establishment and one foot in a more left-leaning camp, but has nonetheless struggled to gain acceptance from more mainstream Jewish groups.""]"
a friday,"[""In a Friday interview with The Huffington Post, Obama said his administration would \""evaluate what other options are available.\""""]"
to shift,"[""Beinart also said that Netanyahu's new right-wing government should serve as a justification for J Street to shift to the left.""]"
prime minister,"[""WASHINGTON -- Advocates of a two-state solution to the Israeli-Palestinian conflict weren't too discouraged by Israeli Prime Minister Benjamin Netanyahu's much-criticized promise ahead of his election victory last week that a Palestinian state would never be created on his watch.""]"
right-wing government,"[""Beinart also said that Netanyahu's new right-wing government should serve as a justification for J Street to shift to the left.""]"
and chief,"[""Notable speakers included White House Chief of Staff Denis McDonough and chief Palestinian negotiator Saeb Erekat.""]"
never be,"[""WASHINGTON -- Advocates of a two-state solution to the Israeli-Palestinian conflict weren't too discouraged by Israeli Prime Minister Benjamin Netanyahu's much-criticized promise ahead of his election victory last week that a Palestinian state would never be created on his watch.""]"
the discussion,"[""Much of the discussion focused on potential moves the U.S. could make at the U.N., such as shifting to support a Security Council resolution laying out the parameters of a desired peace deal or no longer vetoing resolutions calling on Israel to halt settlement expansion.""]"
deal or,"[""Much of the discussion focused on potential moves the U.S. could make at the U.N., such as shifting to support a Security Council resolution laying out the parameters of a desired peace deal or no longer vetoing resolutions calling on Israel to halt settlement expansion.""]"
of perspectives,"[""The event featured a diverse and, at times, conflicting set of perspectives about how to facilitate peace at a time when Netanyahu and Obama are experiencing one of the lowest ebbs their relationship has ever seen.""]"
"""evaluate what","[""In a Friday interview with The Huffington Post, Obama said his administration would \""evaluate what other options are available.\""""]"
washington over,"[""In fact, attendees of the annual J Street conference, held in Washington over the last four days, seemed energized by Netanyahu's remark -- as well as by the possibility that President Barack Obama's administration would start taking a harder line against Netanyahu.""]"
a lot,"[""Now J Street is going to have to look over its left shoulder -- a lot of it is because of Benjamin Netanyahu.""]"
"shoulder, worrying","[""\""This is a great moment for J Street, because J Street has always had to look over its right shoulder, worrying about what others are saying about it,\"" Beinart said.""]"
u wing.,"[""Of these, about 1,100 were college students from the organization's J Street U wing.""]"
u.s. taking,"[""Conference speakers said they would support the U.S. taking more aggressive steps in the wake of the election to promote peace between the Israelis and the Palestinians.""]"
"conference, held","[""In fact, attendees of the annual J Street conference, held in Washington over the last four days, seemed energized by Netanyahu's remark -- as well as by the possibility that President Barack Obama's administration would start taking a harder line against Netanyahu.""]"
moves the,"[""Much of the discussion focused on potential moves the U.S. could make at the U.N., such as shifting to support a Security Council resolution laying out the parameters of a desired peace deal or no longer vetoing resolutions calling on Israel to halt settlement expansion.""]"
more mainstream,"[""Since its founding in 2008, the group has attempted to keep one foot in the Jewish establishment and one foot in a more left-leaning camp, but has nonetheless struggled to gain acceptance from more mainstream Jewish groups.""]"
conference hosted,"[""About 3,000 delegates assembled from Saturday to Tuesday for the conference hosted by J Street, which supports a two-state solution and has frequently criticized Netanyahu.""]"
jewish groups.,"[""Since its founding in 2008, the group has attempted to keep one foot in the Jewish establishment and one foot in a more left-leaning camp, but has nonetheless struggled to gain acceptance from more mainstream Jewish groups.""]"
longer vetoing,"[""Much of the discussion focused on potential moves the U.S. could make at the U.N., such as shifting to support a Security Council resolution laying out the parameters of a desired peace deal or no longer vetoing resolutions calling on Israel to halt settlement expansion.""]"
"had ""forced","[""Journalist Peter Beinart said that Netanyahu's comments had \""forced the Obama administration off the sidelines\"" and that J Street should capitalize on the opportunity to support any action Obama may take at the U.N.\r\n\r\n\""[Obama] needs support from you, because this effort is the most important move that he can realistically make in the rest of his presidency,\"" Beinart said on a panel discussing the future of liberal Zionism.""]"
beinart said.,"[""\""This is a great moment for J Street, because J Street has always had to look over its right shoulder, worrying about what others are saying about it,\"" Beinart said.""]"
is growing,"[""What is growing fastest is to J Street's left, and that is very liberating for J Street, because it means there is going to be a price to be paid no matter what, there is going to be no safe political space, and it is going to liberate people in J Street to do what they really believe.\""""]"
street has,"[""\""This is a great moment for J Street, because J Street has always had to look over its right shoulder, worrying about what others are saying about it,\"" Beinart said.""]"
would start,"[""In fact, attendees of the annual J Street conference, held in Washington over the last four days, seemed energized by Netanyahu's remark -- as well as by the possibility that President Barack Obama's administration would start taking a harder line against Netanyahu.""]"
to j,"[""What is growing fastest is to J Street's left, and that is very liberating for J Street, because it means there is going to be a price to be paid no matter what, there is going to be no safe political space, and it is going to liberate people in J Street to do what they really believe.\""""]"
